#rank	chr	start	end	strand
1	12	37518820	37521682	+
2	3	39860646	39862424	+
3	2	45082606	45083738	+
4	8	59883775	59884720	+
5	15	72398763	72399632	+
6	19	14964849	14967101	+
7	6	52003537	52004941	+
8	9	87719169	87720295	+
9	7	51606103	51607170	+
10	2	171689599	171690112	+
11	4	71865285	71866707	+
12	12	9264761	9266024	+
13	2	146783957	146785728	+
14	4	139814677	139815606	+
15	6	147375402	147376330	+
16	2	125317695	125318987	+
17	4	114493666	114494631	+
18	4	72288334	72289241	+
19	9	102433190	102434980	+
20	15	55997382	55998308	+
21	1	57152616	57154518	+
22	9	72950283	72952492	+
23	13	103280224	103281680	+
24	11	8523748	8526432	+
25	5	132542956	132544648	+
26	1	163912857	163915386	+
27	1	38813829	38816343	+
28	2	74102887	74105220	+
29	5	145528727	145529664	+
30	16	96015862	96016364	+
31	12	111395621	111397009	+
32	4	98344068	98344797	+
33	8	7322626	7323728	+
34	2	171559633	171561227	+
35	3	95463072	95464843	+
36	3	95428396	95429069	+
37	8	123823826	123826220	+
38	3	23308050	23308945	+
39	3	80837733	80839444	+
40	18	78433656	78435876	+
41	6	47600399	47601585	+
42	8	42067185	42068146	+
43	4	116767756	116769455	+
44	15	56523961	56527895	+
45	2	113480728	113481771	+
46	5	119278728	119280052	+
47	1	14135723	14136923	+
48	13	54088299	54089297	+
49	17	44437560	44438485	+
50	19	32393352	32394801	+
51	8	82837835	82839819	+
52	1	108494380	108495231	+
53	2	131226856	131228757	+
54	X	108810231	108811078	+
55	7	146484751	146486096	+
56	2	116465483	116466424	+
57	15	51771944	51773218	+
58	5	115007880	115009402	+
59	6	99960608	99962083	+
60	2	75331843	75333454	+
61	6	117356635	117358058	+
62	4	150287600	150289290	+
63	6	148315188	148316189	+
64	9	21754313	21755099	+
65	6	52174419	52178064	+
66	2	125261187	125263005	+
67	1	174547651	174548837	+
68	1	139114995	139115628	+
69	5	105881676	105882784	+
70	9	36860225	36862036	+
71	7	80270000	80271421	+
72	4	31910348	31911560	+
73	1	84545746	84546780	+
74	5	42129125	42130210	+
75	18	52569085	52570140	+
76	X	133572205	133573587	+
77	6	94577504	94578929	+
78	3	67900203	67901194	+
79	7	143798378	143800580	+
80	4	102163784	102164839	+
81	19	23207617	23208592	+
82	18	50388712	50389310	+
83	2	157738802	157739716	+
84	12	3669739	3670637	+
85	7	90962452	90963271	+
86	2	137073620	137074592	+
87	16	8223678	8224560	+
88	8	82841604	82843044	+
89	19	28982450	28983783	+
90	14	49740549	49742097	+
91	9	69195223	69196243	+
92	8	8103387	8104191	+
93	17	29626139	29627514	+
94	9	110207293	110208277	+
95	1	164149977	164151523	+
96	2	16407356	16408426	+
97	4	58682921	58684638	+
98	2	33556138	33557591	+
99	18	34542268	34543216	+
100	3	78398286	78399613	+
101	5	151938268	151939907	+
102	4	99208814	99209206	+
103	15	83496075	83498149	+
104	10	90366527	90367658	+
105	4	63624057	63625546	+
106	4	135987061	135987690	+
107	8	5038873	5039778	+
108	8	35142931	35144091	+
109	16	55442594	55444074	+
110	11	88550748	88552213	+
111	14	106772453	106773500	+
112	4	120353645	120354120	+
113	2	114920675	114921744	+
114	11	54167595	54168623	+
115	7	122767729	122769021	+
116	2	167388619	167389929	+
117	12	74612412	74613189	+
118	8	86185261	86186649	+
119	5	133957892	133959107	+
120	7	30195756	30197050	+
121	4	64877560	64880297	+
122	2	103770670	103771186	+
123	4	95268343	95269144	+
124	2	75277456	75278850	+
125	9	106104692	106105795	+
126	19	17724969	17726093	+
127	4	150978357	150979760	+
128	19	53727655	53728967	+
129	16	94417298	94418448	+
130	12	84972634	84973562	+
131	2	32873270	32874043	+
132	9	36837535	36839423	+
133	18	68786863	68787765	+
134	6	100002962	100004013	+
135	1	47489339	47490199	+
136	2	44196270	44198049	+
137	7	106103430	106107108	+
138	7	6362662	6363391	+
139	11	85445883	85447203	+
140	4	87413501	87414994	+
141	13	64002197	64003762	+
142	12	32853706	32854997	+
143	11	118859428	118860832	+
144	1	20456174	20457197	+
145	2	58338444	58339599	+
146	14	110477227	110478196	+
147	3	153364768	153366091	+
148	18	78341175	78342104	+
149	17	48168009	48169060	+
150	12	113643824	113644835	+
151	1	82257529	82259637	+
152	10	126775842	126779541	+
153	11	114913622	114914204	+
154	1	75664016	75665008	+
155	16	30067557	30070086	+
156	15	30935681	30936723	+
157	11	115080303	115081655	+
158	5	125657176	125659051	+
159	4	76014716	76017306	+
160	8	108489707	108491407	+
161	1	52364846	52365596	+
162	9	87963013	87965338	+
163	2	106568155	106569060	+
164	6	143386449	143387380	+
165	4	82342836	82343588	+
166	18	61495388	61496704	+
167	1	79828973	79829861	+
168	6	119439646	119440545	+
169	19	5071208	5072659	+
170	4	107013836	107014551	+
171	15	64410206	64411466	+
172	16	74795618	74797048	+
173	10	7943647	7944408	+
174	3	83932998	83934392	+
175	1	14174239	14176144	+
176	12	13220444	13222056	+
177	4	63898923	63899840	+
178	2	33945458	33946803	+
179	8	116245050	116246058	+
180	15	63021300	63022454	+
181	8	14072362	14073191	+
182	4	82666742	82667669	+
183	6	99831453	99832202	+
184	14	25804600	25806202	+
185	2	60623988	60625133	+
186	17	86302173	86303826	+
187	4	125404383	125405323	+
188	8	111198499	111199404	+
189	8	33052851	33053784	+
190	5	136878945	136880100	+
191	11	85526140	85527468	+
192	7	83921637	83923222	+
193	4	9010338	9011476	+
194	9	50534265	50536082	+
195	14	116159103	116159930	+
196	3	147426311	147427307	+
197	8	27943457	27944642	+
198	18	25826155	25827165	+
199	1	155746531	155748715	+
200	4	54482170	54484545	+
201	19	18510351	18511657	+
202	2	131012675	131014070	+
203	2	156665958	156668027	+
204	10	16794204	16795841	+
205	10	119988396	119990149	+
206	3	126528951	126529837	+
207	3	127883819	127884667	+
208	9	60641509	60642539	+
209	1	38923993	38925125	+
210	4	63120025	63121222	+
211	2	74218611	74219547	+
212	2	60799067	60800305	+
213	16	96069571	96071376	+
214	2	64010185	64011336	+
215	7	6195828	6196544	+
216	8	94637610	94639167	+
217	11	87961917	87963166	+
218	1	181376125	181377078	+
219	2	75350492	75351446	+
220	4	57751225	57752122	+
221	12	105872691	105873682	+
222	11	36844488	36845687	+
223	11	88554983	88556007	+
224	5	99806901	99807930	+
225	2	152932807	152933942	+
226	7	103688782	103689754	+
227	X	98494013	98495950	+
228	4	117713485	117714283	+
229	7	136968058	136968676	+
230	11	101086866	101087718	+
231	13	63667337	63669216	+
232	5	47123411	47124349	+
233	18	47726487	47728936	+
234	1	94268130	94269137	+
235	19	8814998	8816260	+
236	7	136953567	136954357	+
237	2	165392331	165392885	+
238	2	12103986	12104926	+
239	12	10054828	10055516	+
240	18	49448323	49449246	+
241	15	11461987	11463236	+
242	4	108035035	108036525	+
243	12	28150044	28151271	+
244	14	61633128	61633725	+
245	2	148008068	148008950	+
246	3	66214602	66215943	+
247	1	139918838	139920627	+
248	4	13168214	13169868	+
249	11	59926505	59928679	+
250	15	36042085	36043014	+
251	6	21975641	21976654	+
252	2	70467521	70468550	+
253	18	78456220	78457650	+
254	5	99594428	99595480	+
255	12	80783260	80785361	+
256	6	4433669	4434807	+
257	8	28988163	28988742	+
258	4	139585797	139587024	+
259	18	65308955	65310261	+
260	15	102229293	102230737	+
261	8	33534630	33535840	+
262	1	84545781	84546755	+
263	2	134040168	134041191	+
264	12	25779155	25785970	+
265	6	29668294	29669975	+
266	4	152173515	152173898	+
267	17	67106080	67106983	+
268	8	33991958	33992752	+
269	16	63451958	63452606	+
270	10	106046204	106047110	+
271	10	117020517	117021254	+
272	1	183491606	183492833	+
273	11	78001796	78004008	+
274	1	160790253	160791161	+
275	9	75646927	75647620	+
276	5	100158140	100159225	+
277	11	63663642	63664436	+
278	7	36633401	36633960	+
279	1	165242578	165246059	+
280	11	45327598	45328897	+
281	6	117381192	117382326	+
282	19	36908834	36910308	+
283	2	130233798	130234557	+
284	5	140200345	140201518	+
285	3	85991114	85992367	+
286	12	32230070	32230892	+
287	14	22867300	22868637	+
288	12	16806208	16807342	+
289	18	36434144	36434893	+
290	13	95378023	95379076	+
291	1	156930855	156931694	+
292	6	99888949	99889699	+
293	17	64951016	64952406	+
294	9	69516439	69518569	+
295	16	85800782	85802272	+
296	8	59811888	59814571	+
297	13	101985737	101986745	+
298	1	58882590	58883996	+
299	6	50989401	50990404	+
300	14	118909028	118910567	+
301	4	72288127	72289241	+
302	10	50483114	50483910	+
303	10	30047362	30048349	+
304	10	43442170	43443865	+
305	2	34089461	34090579	+
306	4	104873090	104873997	+
307	16	30190304	30192251	+
308	4	148015425	148015888	+
309	5	49388474	49389445	+
310	2	4965977	4966502	+
311	1	79818424	79819689	+
312	9	29125951	29127077	+
313	17	44440849	44441804	+
314	10	36204543	36205248	+
315	2	73789926	73791527	+
316	6	52065609	52066634	+
317	12	105917483	105918319	+
318	4	8946271	8947461	+
319	3	7943477	7944560	+
320	9	40263700	40264614	+
321	12	13164209	13165420	+
322	2	147385792	147387571	+
323	16	10916071	10916805	+
324	7	56752239	56752962	+
325	11	94387178	94388251	+
326	6	6051073	6051755	+
327	7	97056447	97057808	+
328	1	75829380	75830638	+
329	16	93272339	93273692	+
330	4	114494945	114496304	+
331	18	66581187	66581817	+
332	2	3950179	3950928	+
333	2	148151701	148152904	+
334	17	25730330	25731216	+
335	11	69651612	69652960	+
336	4	63100725	63101896	+
337	3	121996844	121997319	+
338	15	32377139	32378099	+
339	6	136741269	136742112	+
340	3	99052143	99053973	+
341	3	9830764	9831663	+
342	15	41815240	41816143	+
343	8	92064941	92065889	+
344	13	99361370	99362062	+
345	4	5132643	5133526	+
346	10	125391455	125392704	+
347	9	71360263	71361596	+
348	8	110551093	110552756	+
349	16	85128464	85130147	+
350	17	51628437	51629586	+
351	6	108519305	108520481	+
352	4	125878668	125880997	+
353	2	169651516	169652637	+
354	8	37751774	37752591	+
355	2	171688140	171688465	+
356	9	47094680	47095575	+
357	7	59168764	59170414	+
358	6	116157254	116158578	+
359	13	31945140	31946235	+
360	3	40304204	40305020	+
361	13	91513598	91514753	+
362	5	115750044	115751882	+
363	5	132056816	132057927	+
364	2	165681917	165683692	+
365	11	35155730	35156425	+
366	2	121907412	121907975	+
367	4	16089213	16090697	+
368	13	99920889	99921750	+
369	8	127680601	127681477	+
370	4	119087804	119088396	+
371	15	93687356	93688429	+
372	6	143373452	143374358	+
373	17	15840772	15841792	+
374	8	94203270	94204446	+
375	3	122879073	122880004	+
376	17	63185616	63186766	+
377	12	9628615	9629320	+
378	7	143597725	143598646	+
379	8	27468948	27470300	+
380	3	55299739	55301409	+
381	11	36038924	36039728	+
382	X	67572132	67573105	+
383	9	21651091	21652237	+
384	12	74622006	74624019	+
385	7	143193606	143194619	+
386	1	95374177	95376523	+
387	12	9437327	9438298	+
388	7	107327011	107328008	+
389	18	74650438	74651200	+
390	11	118445924	118446619	+
391	3	130569822	130570683	+
392	15	102582392	102583625	+
393	17	80877144	80878210	+
394	12	30977594	30978538	+
395	2	133460976	133461956	+
396	9	74034394	74035300	+
397	14	103258392	103259416	+
398	19	4988748	4989504	+
399	11	114428052	114429310	+
400	11	76758416	76760372	+
401	9	87338256	87339186	+
402	17	81791800	81793269	+
403	5	41377750	41378403	+
404	3	31090209	31091135	+
405	15	12446867	12448142	+
406	1	14556744	14557837	+
407	13	47025214	47026622	+
408	12	7317642	7319434	+
409	19	14375494	14376309	+
410	3	141786639	141788724	+
411	10	87323082	87324171	+
412	16	88599832	88601055	+
413	2	63714327	63715956	+
414	3	97905238	97906171	+
415	6	52166096	52171107	+
416	9	87271534	87272943	+
417	6	71024595	71025406	+
418	10	70557342	70558180	+
419	2	83549814	83551045	+
420	2	152591805	152592729	+
421	7	143533678	143535417	+
422	15	38211722	38212641	+
423	12	13191201	13192370	+
424	1	12681804	12682737	+
425	16	77914758	77915468	+
426	4	66882373	66883254	+
427	1	60917094	60918219	+
428	2	165074395	165075147	+
429	4	134722198	134723676	+
430	14	119113685	119114735	+
431	3	155150713	155151532	+
432	17	84623022	84624182	+
433	18	21383071	21383835	+
434	11	60709253	60710193	+
435	15	75798894	75799893	+
436	12	107239352	107240489	+
437	2	114232552	114233848	+
438	6	50758734	50759924	+
439	9	87966122	87967631	+
440	13	64052129	64054058	+
441	4	82696367	82698565	+
442	13	59197150	59197670	+
443	3	141885604	141886570	+
444	4	83621369	83623021	+
445	3	152185592	152186225	+
446	19	55889031	55890464	+
447	4	97716052	97717331	+
448	9	47674033	47674765	+
449	1	61168622	61169818	+
450	8	87178799	87180894	+
451	3	9607477	9608767	+
